1,7511.524584898222
2,7737.136693694871
3,7719.68850199326
4,7711.663431116993
5,7934.588837706161
6,7855.31504147286
7,7733.226471023522
8,7947.472411324501
9,7685.959066237012
10,7747.438284429951
11,7519.153541028045
12,7487.0391433223185
13,7853.93646182261
14,7760.5758820437795
15,7749.260934655518
16,7848.650705564429
17,7786.430727734142
18,7901.822538450441
19,7926.3804663593555
20,7862.730738323465
21,7826.352375167823
22,7956.628891277846
23,7939.0625291722135
24,7528.335546093752
25,7841.670804067714
26,7894.815311523691
27,7827.399283487364
28,7791.921820215831
29,7721.367591726405
30,7773.470334218048
31,7750.104992272262
32,7713.531656867841
33,7758.510239044523
34,7690.872110425307
35,7240.236618684932
36,7669.794707366385
37,7784.212761180774
38,7821.2363282967935
39,7555.069070380742
40,7577.908564552945
41,7526.122099408657
42,7793.046354210104
43,7834.111447369552
44,7756.437470430113
45,7836.399242356139
46,7574.529832061993
47,7387.437679421436
48,7807.372327316135
49,7801.223339468988
50,7330.839278861355
